CAS,chemicalName,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numIodine,numSilicon
57-50-1,Sucrose,,,,,2.32,2.78,3,14.19,11.06,,,,,,,,,,,
4618-18-2,Lactulose,,,,,2.4,2.4,2.5,13.2,11.06,,,,,,,,,,,
529-44-2,3.3'.4'.5.5.'.7-Hexahydroxyflavone 14767,,,,,2.85,2.6,2.39,13.12,11.06,,,,,,,,,,,
154-23-4,Catechin,,,,,2.61,2.05,2.3,12,11.06,,,,,,,,,,,
13392-26-2,Epicatechin,,,,,2.92,2.73,2.3,13.19,11.06,,,,,,,,,,,
66508-53-0,Fosmidomycin,,,,,1.1,1.95,2.25,7.41,11.06,,,,,,,,,,,
4428-95-9,Foscarnet,,,,,0.73,1.05,2.2,4.28,11.06,,,,,,,,,,,
23155-02-4,Fosfomycin,,,,,0.82,1.32,2.2,5.18,11.06,,,,,,,,,,,
113852-37-2,Cidofovir,,,,,2.09,2.08,2.2,10.97,11.06,,,,,,,,,,,
480-16-0,2'.3.4'.5.7-Pentahydroxyflavone,,,,,2.75,2.34,2.13,12.47,11.06,,,,,,,,,,,
327-97-9,Chlorogenic acid,,,,,2.13,2.61,2.08,13.44,11.06,,,,,,,,,,,
18113-18-3,2.5-Dimethoxyphenol,,,,,0.86,1.44,2,5.72,11.06,,,,,,,,,,,
117-39-5,3.3'.4'.5.7-Pentahydroxyflavone,,,,,2.68,2.2,1.92,12.33,11.06,,,,,,,,,,,
528-48-3,3.3'.4'.7-Tetrahydroxyflavone,,,,,2.53,2.19,1.9,11.78,11.06,,,,,,,,,,,
13392-18-2,Fenoterol,,,,,2.09,2.2,1.88,12.78,11.06,,,,,,,,,,,
5994-61-6,PMIDA,,,,,1.06,1.87,1.84,7.8,11.06,,,,,,,,,,,
106941-25-7,Adefovir,,,,,2.34,2.42,1.8,11.21,11.06,,,,,,,,,,,
499-12-7,Aconitic acid,,,,,0.76,1.22,1.71,5.897,11.06,,,,,,,,,,,
993-13-5,Methylphosphonic acid,,,,,0.56,1.52,1.7,3.8,11.06,,,,,,,,,,,
517-28-2,Haematoxylin,,,,,2.42,2.7,1.66,12.406,11.06,,,,,,,,,,,
149-32-6,Erythritol,,,,,0.79,1.5,1.65,5.3,11.06,,,,,,,,,,,
501-36-0,trans-Resveratrol,,,,,1.97,2.01,1.65,10.23,11.06,,,,,,,,,,,
18499-92-8,Kermesic acid,,,,,2.67,2.65,1.64,13.04,11.06,,,,,,,,,,,
