CAS , ringCount
100-00-5 ,1
100-01-6 ,1
100-02-7 ,1
100-06-1 ,1
100-09-4 ,1
100-11-8 ,1
100-14-1 ,1
100-17-4 ,1
100-18-5 ,1
100-19-6 ,1
100-21-0 ,1
100-23-2 ,1
1002-36-4 ,0
100-25-4 ,1
1002-69-3 ,0
1002-84-2 ,0
1003-03-8 ,0
10031-82-0 ,1
10031-87-5 ,0
10032-13-0 ,0
10032-15-2 ,0
1003-29-8 ,1
1003-38-9 ,0
1003-64-1 ,0
1003-67-4 ,1
100-37-8 ,0
10038-98-9 ,0
100-39-0 ,1
100-40-3 ,0
100-41-4 ,1
100-42-5 ,1
100-43-6 ,1
100-44-7 ,1
1004-66-6 ,1
100-46-9 ,1
100-47-0 ,1
100-48-1 ,1
100-49-2 ,0
100-50-5 ,0
100-51-6 ,1
100-52-7 ,1
1005-31-8 ,1
100-53-8 ,1
100-54-9 ,1
100-56-1 ,1
10059-13-9 ,0
10061-02-6 ,0
100-61-8 ,1
100-63-0 ,1
1006-31-1 ,1
100-64-1 ,0
1006-59-3 ,1
100-66-3 ,1
100-68-5 ,1
100-69-6 ,1
100-70-9 ,1
100-71-0 ,1
1007-32-5 ,1
100-74-3 ,0
100-75-4 ,0
100-76-5 ,0
100-80-1 ,1
100-83-4 ,1
100-84-5 ,1
1008-88-4 ,2
1008-89-5 ,2
1009-11-6 ,1
1009-14-9 ,1
101-41-7 ,1
101-42-8 ,1
1014-69-3 ,1
1014-70-6 ,1
101-48-4 ,1
10152-76-8 ,0
101-53-1 ,2
101-55-3 ,2
1015-89-0 ,3
10161-33-8 ,0
101-77-9 ,2
101-81-5 ,2
101-82-6 ,2
101-83-7 ,0
101-84-8 ,2
101-97-3 ,1
101-99-5 ,1
102-04-5 ,2
102-07-8 ,2
10208-80-7 ,0
102-08-9 ,2
102-09-0 ,2
102-25-0 ,1
102-27-2 ,1
10229-10-4 ,0
1024-57-3 ,0
102-54-5 ,0
10262-69-8 ,2
10264-55-8 ,0
102-69-2 ,0
102-71-6 ,0
102-76-1 ,0
102-81-8 ,0
102-82-9 ,0
102-86-3 ,0
102-96-5 ,1
103-09-3 ,0
1031-07-8 ,0
103-11-7 ,0
103-16-2 ,2
103-25-3 ,1
103-26-4 ,1
103-29-7 ,2
103-30-0 ,2
103-33-3 ,2
103-36-6 ,1
103-41-3 ,2
103-44-6 ,0
103-45-7 ,1
103-50-4 ,2
10352-87-1 ,0
103-54-8 ,1
10359-61-2 ,0
10359-64-5 ,0
103628-46-2 ,2
103-63-9 ,1
103-65-1 ,1
103-67-3 ,1
103-69-5 ,1
103-70-8 ,1
103-71-9 ,1
103-72-0 ,1
103-73-1 ,1
103-74-2 ,1
103-79-7 ,1
103-81-1 ,1
103-82-2 ,1
103-83-3 ,1
103-84-4 ,1
103-85-5 ,1
103-89-9 ,1
103-90-2 ,1
104-01-8 ,1
104-13-2 ,1
104-15-4 ,1
104-40-5 ,1
104-42-7 ,1
104-45-0 ,1
104-46-1 ,1
104-50-7 ,0
104-51-8 ,1
