CAS,C,H,O,N,S,F,Cl,Br,I,Si
100-00-5,6,4,2,1,0,0,1,0,0,0
100-01-6,6,6,2,2,0,0,0,0,0,0
100-02-7,6,5,3,1,0,0,0,0,0,0
100-06-1,9,10,2,0,0,0,0,0,0,0
100-09-4,8,8,3,0,0,0,0,0,0,0
100-11-8,7,6,2,1,0,0,0,1,0,0
100-14-1,7,6,2,1,0,0,1,0,0,0
100-17-4,7,7,3,1,0,0,0,0,0,0
100-18-5,12,18,0,0,0,0,0,0,0,0
100-19-6,8,7,3,1,0,0,0,0,0,0
100-21-0,8,6,4,0,0,0,0,0,0,0
100-23-2,8,10,2,2,0,0,0,0,0,0
1002-36-4,7,12,1,0,0,0,0,0,0,0
100-25-4,6,4,4,2,0,0,0,0,0,0
1002-69-3,10,21,0,0,0,0,1,0,0,0
1002-84-2,15,30,2,0,0,0,0,0,0,0
1003-03-8,5,11,0,1,0,0,0,0,0,0
10031-82-0,9,10,2,0,0,0,0,0,0,0
10031-87-5,8,16,2,0,0,0,0,0,0,0
100319-40-2,,,,,,,,,,
10032-13-0,11,22,2,0,0,0,0,0,0,0
10032-15-2,11,22,2,0,0,0,0,0,0,0
1003-29-8,5,5,1,1,0,0,0,0,0,0
100-33-4,,,,,,,,,,
1003-38-9,6,12,1,0,0,0,0,0,0,0
1003-64-1,8,14,0,0,0,0,0,0,0,0
1003-67-4,6,7,1,1,0,0,0,0,0,0
100-37-8,6,15,1,1,0,0,0,0,0,0
10038-98-9,0,0,0,0,0,0,4,0,0,0
100-39-0,7,7,0,0,0,0,0,1,0,0
100-40-3,8,12,0,0,0,0,0,0,0,0
100-41-4,8,10,0,0,0,0,0,0,0,0
100-42-5,8,8,0,0,0,0,0,0,0,0
100-43-6,7,7,0,1,0,0,0,0,0,0
100-44-7,7,7,0,0,0,0,1,0,0,0
1004-66-6,9,12,1,0,0,0,0,0,0,0
100-46-9,7,9,0,1,0,0,0,0,0,0
100-47-0,7,5,0,1,0,0,0,0,0,0
100-48-1,6,4,0,2,0,0,0,0,0,0
100-49-2,7,14,1,0,0,0,0,0,0,0
100-50-5,7,10,1,0,0,0,0,0,0,0
100-51-6,7,8,1,0,0,0,0,0,0,0
100-52-7,7,6,1,0,0,0,0,0,0,0
1005-31-8,7,10,1,2,0,0,0,0,0,0
100-53-8,7,8,0,0,1,0,0,0,0,0
100-54-9,6,4,0,2,0,0,0,0,0,0
100-56-1,6,1,0,0,0,0,1,0,0,0
10059-13-9,12,26,0,0,1,0,0,0,0,0
10061-02-6,3,4,0,0,0,0,2,0,0,0
10061-10-5,,,,,,,,,,
100-61-8,7,9,0,1,0,0,0,0,0,0
100-63-0,6,8,0,2,0,0,0,0,0,0
1006-31-1,7,4,0,0,0,0,4,0,0,0
1006-32-2,,,,,,,,,,
100-64-1,6,11,1,1,0,0,0,0,0,0
1006-59-3,10,14,1,0,0,0,0,0,0,0
100-66-3,7,8,1,0,0,0,0,0,0,0
100-68-5,7,8,0,0,1,0,0,0,0,0
100-69-6,7,7,0,1,0,0,0,0,0,0
100-70-9,6,4,0,2,0,0,0,0,0,0
100-71-0,7,9,0,1,0,0,0,0,0,0
1007-32-5,10,12,1,0,0,0,0,0,0,0
100-74-3,6,13,1,1,0,0,0,0,0,0
1007-49-4,,,,,,,,,,
100-75-4,5,10,1,2,0,0,0,0,0,0
100-76-5,7,13,0,1,0,0,0,0,0,0
100-80-1,9,10,0,0,0,0,0,0,0,0
100-83-4,7,6,2,0,0,0,0,0,0,0
100-84-5,8,10,1,0,0,0,0,0,0,0
1008-88-4,11,9,0,1,0,0,0,0,0,0
1008-89-5,11,9,0,1,0,0,0,0,0,0
1009-11-6,10,12,2,0,0,0,0,0,0,0
1009-14-9,11,14,1,0,0,0,0,0,0,0
101-41-7,9,10,2,0,0,0,0,0,0,0
101-42-8,9,12,1,2,0,0,0,0,0,0
1014-69-3,8,15,0,5,1,0,0,0,0,0
1014-70-6,8,15,0,5,1,0,0,0,0,0
101-48-4,10,14,2,0,0,0,0,0,0,0
10152-76-8,4,8,0,0,1,0,0,0,0,0
101-53-1,13,12,1,0,0,0,0,0,0,0
101-55-3,12,9,1,0,0,0,0,1,0,0
1015-89-0,13,9,1,1,0,0,0,0,0,0
10161-33-8,18,22,2,0,0,0,0,0,0,0
101-77-9,13,14,0,2,0,0,0,0,0,0
101-81-5,13,12,0,0,0,0,0,0,0,0
101-82-6,12,11,0,1,0,0,0,0,0,0
101-83-7,12,23,0,1,0,0,0,0,0,0
101-84-8,12,10,1,0,0,0,0,0,0,0
101870-22-8,,,,,,,,,,
101-97-3,10,12,2,0,0,0,0,0,0,0
101-99-5,9,11,2,1,0,0,0,0,0,0
102-04-5,15,14,1,0,0,0,0,0,0,0
102-07-8,13,12,1,2,0,0,0,0,0,0
10208-80-7,15,24,0,0,0,0,0,0,0,0
102-08-9,13,12,0,2,1,0,0,0,0,0
102-09-0,13,10,3,0,0,0,0,0,0,0
102-25-0,12,18,0,0,0,0,0,0,0,0
102-27-2,9,13,0,1,0,0,0,0,0,0
10229-10-4,5,8,1,0,0,0,0,0,0,0
1024-57-3,10,5,1,0,0,0,7,0,0,0
102516-93-8,,,,,,,,,,
102-54-5,10,10,0,0,0,1,0,0,0,0
10262-69-8,20,23,0,1,0,0,0,0,0,0
10264-55-8,7,12,1,0,0,0,0,0,0,0
102-69-2,9,21,0,1,0,0,0,0,0,0
102-71-6,6,15,3,1,0,0,0,0,0,0
102-76-1,9,14,6,0,0,0,0,0,0,0
102-81-8,10,23,1,1,0,0,0,0,0,0
102-82-9,12,27,0,1,0,0,0,0,0,0
102-86-3,18,39,0,1,0,0,0,0,0,0
102-96-5,8,7,2,1,0,0,0,0,0,0
103-09-3,10,20,2,0,0,0,0,0,0,0
1031-07-8,9,6,4,0,1,0,6,0,0,0
103-11-7,11,20,2,0,0,0,0,0,0,0
103-16-2,13,12,2,0,0,0,0,0,0,0
103-25-3,10,12,2,0,0,0,0,0,0,0
103-26-4,10,10,2,0,0,0,0,0,0,0
103-29-7,14,14,0,0,0,0,0,0,0,0
103-30-0,14,12,0,0,0,0,0,0,0,0
103323-29-1,,,,,,,,,,
103-33-3,12,10,0,2,0,0,0,0,0,0
103-36-6,11,12,2,0,0,0,0,0,0,0
103-41-3,16,14,2,0,0,0,0,0,0,0
103426-95-5,,,,,,,,,,
103-44-6,10,20,1,0,0,0,0,0,0,0
103-45-7,10,12,2,0,0,0,0,0,0,0
103-50-4,14,14,1,0,0,0,0,0,0,0
10352-87-1,7,12,2,0,0,0,0,0,0,0
103-54-8,11,12,2,0,0,0,0,0,0,0
103577-45-3,,,,,,,,,,
10359-61-2,8,18,0,0,1,0,0,0,0,0
10359-64-5,5,12,0,0,1,0,0,0,0,0
10359-66-7,,,,,,,,,,
103628-46-2,14,21,2,3,1,0,0,0,0,0
103-63-9,8,9,0,0,0,0,0,1,0,0
103-65-1,9,12,0,0,0,0,0,0,0,0
103-67-3,8,11,0,1,0,0,0,0,0,0
103-69-5,8,11,0,1,0,0,0,0,0,0
103-70-8,7,7,1,1,0,0,0,0,0,0
103-71-9,7,5,1,1,0,0,0,0,0,0
103-72-0,7,5,0,1,1,0,0,0,0,0
103-73-1,8,10,1,0,0,0,0,0,0,0
103-74-2,7,9,1,1,0,0,0,0,0,0
103-79-7,9,10,1,0,0,0,0,0,0,0
103-81-1,8,9,1,1,0,0,0,0,0,0
103-82-2,8,8,2,0,0,0,0,0,0,0
103-83-3,9,13,0,1,0,0,0,0,0,0
103-84-4,8,9,1,1,0,0,0,0,0,0
103-85-5,7,8,0,2,1,0,0,0,0,0
103-89-9,9,11,1,1,0,0,0,0,0,0
103-90-2,8,9,2,1,0,0,0,0,0,0
104-01-8,9,10,3,0,0,0,0,0,0,0
104-13-2,10,15,0,1,0,0,0,0,0,0
104-15-4,7,8,3,0,1,0,0,0,0,0
104206-82-8,,,,,,,,,,
104227-87-4,,,,,,,,,,
104-40-5,15,24,1,0,0,0,0,0,0,0
104-42-7,18,31,0,1,0,0,0,0,0,0
104-45-0,10,14,1,0,0,0,0,0,0,0
104-46-1,10,12,1,0,0,0,0,0,0,0
104-50-7,8,14,2,0,0,0,0,0,0,0
104-51-8,10,14,0,0,0,0,0,0,0,0
104-54-1,9,10,1,0,0,0,0,0,0,0
104-55-2,9,8,1,0,0,0,0,0,0,0
1045-69-8,21,30,3,0,0,0,0,0,0,0
10457-90-6,21,23,2,1,0,1,0,1,0,0
104-61-0,9,16,2,0,0,0,0,0,0,0
104-67-6,11,20,2,0,0,0,0,0,0,0
104-72-3,16,26,0,0,0,0,0,0,0,0
104-76-7,8,18,1,0,0,0,0,0,0,0
104-82-5,8,9,0,0,0,0,1,0,0,0
104-83-6,7,6,0,0,0,0,2,0,0,0
104-85-8,8,7,0,1,0,0,0,0,0,0
10486-19-8,13,26,1,0,0,0,0,0,0,0
104-87-0,8,8,1,0,0,0,0,0,0,0
104-88-1,7,5,1,0,0,0,1,0,0,0
104-90-5,8,11,0,1,0,0,0,0,0,0
104-91-6,6,5,2,1,0,0,0,0,0,0
104-92-7,7,7,1,0,0,0,0,1,0,0
104-93-8,8,10,1,0,0,0,0,0,0,0
104-94-9,7,9,1,1,0,0,0,0,0,0
10500-11-5,,,,,,,,,,
105-05-5,10,14,0,0,0,0,0,0,0,0
