CAS,chemicalName,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy,C,H,O,N,S,F,Cl,Br,I,Si
100-00-5,1-Chloro-4-nitrobenzene,,,,,0.98,1.22,0,5.22,,6,4,2,1,0,0,1,0,0,0
100-01-6,4-Nitroaniline,,,,,1.22,1.92,0.46,6.042,,6,6,2,2,0,0,0,0,0,0
100-02-7,4-Nitrophenol,,,,,1.07,1.72,0.82,5.876,,6,5,3,1,0,0,0,0,0,0
100-06-1,4-Methoxyacetophenone,,,,,0.92,1.58,0,5.936,,9,10,2,0,0,0,0,0,0,0
100-09-4,4-Methoxybenzoic acid,,,,,0.9,1.25,0.62,5.741,,8,8,3,0,0,0,0,0,0,0
100-11-8,4-(Bromomethyl)nitrobenzene,,,,,1.27,1.42,0,6.296,,7,6,2,1,0,0,0,1,0,0
100-14-1,4-Nitrobenzyl chloride,,,,,1.08,1.35,0,5.806,,7,6,2,1,0,0,1,0,0,0
100-17-4,4-Nitroanisole,,,,,0.98,1.49,0,5.62,,7,7,3,1,0,0,0,0,0,0
100-18-5,1.4-Diisopropylbenzene,,,,,0.62,0.47,0,5.315,,12,18,0,0,0,0,0,0,0,0
100-19-6,4'-Nitroacetophenone,,,,,1.08,1.54,0,6.059,,8,7,3,1,0,0,0,0,0,0
100-21-0,Terephthalic acid,,,,,1.1,1.21,1.03,6.2,,8,6,4,0,0,0,0,0,0,0
100-23-2,4-Nitro-N.N-dimethylaniline,,,,,1.22,2.02,0,7,,8,10,2,2,0,0,0,0,0,0
1002-36-4,Hept-2-yn-1-ol,,,,,0.38,0.57,0.33,3.954,,7,12,1,0,0,0,0,0,0,0
100-25-4,1.4-Dinitrobenzene,,,,,1.13,1.63,0,5.796,,6,4,4,2,0,0,0,0,0,0
1002-69-3,1-Chlorodecane,,,,,0.19,0.4,0,5.708,,10,21,0,0,0,0,1,0,0,0
1002-84-2,Pentadecanoic acid,,,,,0.05,0.69,0.62,8.244,,15,30,2,0,0,0,0,0,0,0
1003-03-8,Cyclopentylamine,,,,,0.41,0.56,0.19,3.003,,5,11,0,1,0,0,0,0,0,0
10031-82-0,4-Ethoxybenzaldehyde,,,,,1,1.15,0,5.896,,9,10,2,0,0,0,0,0,0,0
10031-87-5,2-Ethyl-1-butyl acetate,,,,,0.07,0.57,0,4.178,,8,16,2,0,0,0,0,0,0,0
100319-40-2,1-Ethyl-4-isobutylbenzene,,,,,0.61,0.5,0,5.5,,,,,,,,,,,
10032-13-0,Hexyl 3-methylbutanoate,,,,,-0.03,0.52,0,5.505,,11,22,2,0,0,0,0,0,0,0
10032-15-2,Hexyl 2-methylbutanoate,,,,,0,0.53,0,5.496,,11,22,2,0,0,0,0,0,0,0
1003-29-8,2-Pyrrolecarbaldehyde,,,,,0.73,1.39,0.23,3.939,,5,5,1,1,0,0,0,0,0,0
100-33-4,Pentamidine,,,,,2.34,1.6,0.42,13.29,,,,,,,,,,,
1003-38-9,2.5-Dimethyltetrahydrofuran,,,,,0.2,0.38,0,2.98,,6,12,1,0,0,0,0,0,0,0
1003-64-1,Ethylidenecyclohexane,,,,,0.44,0.19,0,3.981,,8,14,0,0,0,0,0,0,0,0
1003-67-4,4-Methylpyridine N-oxide,,,,,0.66,1.25,0.51,4.35,,6,7,1,1,0,0,0,0,0,0
100-37-8,N.N-Diethylethanolamine,,,,,0.41,0.59,0.25,4.135,,6,15,1,1,0,0,0,0,0,0
