CAS (0),ChemicalName (1),Label (2),MRF (3),molecularWeight (4),overloadMass_1 (5),E (6),S (6),A (7),L (8),combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numSilicon,,,
5675-51-4,1.12-Dodecanediol,,1.401,202.33,318.7,0.456,0.807,0.817,7.531,1725.6,0,12,26,2,0,0,0,0,0,0,,,9.611
95-94-3,1.2.4.5-Tetrachlorobenzene,Halogenated,0.534,215.88,344.1,1.022,0.695,0,5.957,566.5,1,6,2,0,0,0,0,4,0,0,,,7.674
120-82-1,1.2.4-Trichlorobenzene,Halogenated,0.577,181.43,353.4,1.022,0.746,0,5.198,615.7,1,6,3,0,0,0,0,3,0,0,,,6.966
53-70-3,1.2.5.6-Dibenzoanthracene,PAH,2.654,278.33,200.0,3.837,2.286,0,12.53,2595.5,4,22,14,0,0,0,0,0,0,0,,,18.653
95-50-1,1.2-Dichlorobenzene,Halogenated,0.619,146.99,364.1,0.872,0.775,0,4.507,665,1,6,4,0,0,0,0,2,0,0,,,6.154
95-47-6,1.2-Dimethylbenzene,,0.956,106.16,377.1,0.663,0.547,0,3.948,1058.1,1,8,10,0,0,0,0,0,0,0,,,5.158
102-25-0,1.3.5-Triethylbenzene,,1.461,162.26,357.1,0.67,0.5,0,5.511,1647.2,1,12,18,0,0,0,0,0,0,0,,,6.681
108-36-1,1.3-Dibromobenzene,Halogenated,0.769,235.89,350.1,1.198,0.798,0,5.218,696.1,1,6,4,0,0,0,0,0,2,0,,,7.214
541-73-1,1.3-Dichlorobenzene,Halogenated,0.619,146.99,366.5,0.852,0.692,0,4.421,665,1,6,4,0,0,0,0,2,0,0,,,5.965
108-46-3,1.3-Dihydroxybenzene,,0.621,110.11,338.5,0.973,0.963,1.286,4.877,667.2,1,6,6,2,0,0,0,0,0,0,,,8.099
108-38-3,1.3-Dimethylbenzene,,0.956,106.16,379.5,0.625,0.504,0,3.845,1058.1,1,8,10,0,0,0,0,0,0,0,,,4.974
99-65-0,1.3-Dinitrobenzene,,0.514,168.11,331.0,0.985,1.715,0,5.971,542.1,1,6,4,4,2,0,0,0,0,0,,,8.671
106-42-3,1.4-Dimethylbenzene,,0.956,106.16,379.7,0.615,0.494,0,3.852,1058.1,1,8,10,0,0,0,0,0,0,0,,,4.961
941-98-0,1-Acetonaphthone,,1.397,170.20,318.8,1.517,1.436,0,6.649,1424.2,2,12,10,1,0,0,0,0,0,0,,,9.602
143-15-7,1-Bromododecane,Halogenated,1.516,249.22,339.9,0.332,0.374,0,7.287,1788.3,0,12,25,0,0,0,0,0,1,0,,,7.993
90-11-9,1-Bromonaphthalene,Halogenated,1.256,207.06,324.3,1.594,1.033,0,6.558,1187.8,2,10,7,0,0,0,0,0,1,0,,,9.185
90-13-1,1-Chloronaphthalene,Halogenated,1.181,162.61,332.3,1.419,0.964,0,6.188,1172.3,2,10,7,0,0,0,0,1,0,0,,,8.571
693-02-7,1-Hexyne,,0.651,82.14,404.5,0.167,0.275,0.091,2.541,851,0,6,10,0,0,0,0,0,0,0,,,3.074
129-43-1,1-Hydroxyanthraquinone,,1.454,224.20,285.8,1.502,1.489,0.049,9.077,1491.3,2,14,8,3,0,0,0,0,0,0,,,12.117
90-12-0,1-Methylnaphthalene,,1.349,142.19,340.5,1.332,0.916,0,5.699,1368.8,2,11,10,0,0,0,0,0,0,0,,,7.947
90-15-3,1-Naphthol,,1.182,144.16,320.7,1.407,1.101,0.758,6.192,1173.4,2,10,8,1,0,0,0,0,0,0,,,9.458
773-99-9,1-Naphthylethanol,,1.434,172.22,310.4,1.583,1.247,0.426,6.984,1467.9,2,12,12,1,0,0,0,0,0,0,,,10.24
86-57-7,1-Nitronaphthalene,,1.128,173.16,317.3,1.392,1.482,0,6.842,1110.8,2,10,7,2,1,0,0,0,0,0,,,9.716
108-03-2,1-Nitropropane,,0.253,89.09,391.1,0.243,0.926,0.046,2.882,385.8,0,3,7,2,1,0,0,0,0,0,,,4.097
5522-43-0,1-Nitropyrene,,1.698,247.24,243.7,2.789,2.063,0,10.474,1775.9,2,16,9,2,1,0,0,0,0,0,,,15.326
93-54-9,1-Phenyl-1-propanol,,1.041,136.19,349.9,0.81,0.866,0.395,5.159,1157.2,1,9,12,1,0,0,0,0,0,0,,,7.23
698-87-3,1-Phenyl-2-propanol,,1.041,136.19,356.6,0.787,0.782,0.316,4.835,1157.2,1,9,12,1,0,0,0,0,0,0,,,6.72
98-85-1,1-Phenylethanol,,0.915,122.16,360.8,0.782,0.725,0.424,4.473,1009.9,1,8,10,1,0,0,0,0,0,0,,,
526-75-0,2.3-Dimethylphenol,,0.915,122.16,351.9,0.851,0.8,0.564,4.862,1009.9,1,8,10,1,0,0,0,0,0,0,,,
95-68-1,2.4-Dimethylaniline,,0.981,121.18,351.6,1.003,0.726,0.373,5.003,1087.4,1,8,11,0,1,0,0,0,0,0,,,
97-02-9,2.4-Dinitroaniline,,0.539,183.13,289.8,1.496,2.351,0.284,7.681,571.4,1,6,5,4,3,0,0,0,0,0,,,
99-30-9,2.6-Dichloro-4-nitroaniline,Halogenated,0.549,207.01,310.2,1.078,1.247,0.492,7.443,583.6,1,6,4,2,2,0,0,2,0,0,,,
576-26-1,2.6-Dimethylphenol,,0.915,122.16,356.5,0.752,0.774,0.413,4.794,1009.9,1,8,10,1,0,0,0,0,0,0,,,
93-08-3,2-Acetonaphthone,,1.397,170.20,317.2,1.481,1.478,0,6.765,1424.2,2,12,10,1,0,0,0,0,0,0,,,
79-07-2,2-Chloroacetamide,Halogenated,0.125,93.51,372.3,0.617,1.211,0.408,3.292,237.5,0,2,4,1,1,0,0,1,0,0,,,
95-51-2,2-Chloroaniline,Halogenated,0.686,127.57,353.7,1.026,0.991,0.243,4.685,743.6,1,6,6,0,1,0,0,1,0,0,,,
