columnName,Temperature,e,s,a,l,c
SPB_OCTYL,60,0.142,0.092,0.088,0.775,-2.598
SPB_OCTYL,80,0.169,0.093,0.040,0.701,-2.664
SPB_OCTYL,100,0.192,0.087,0,0.640,-2.737
SPB_OCTYL,120,0.198,0.088,0,0.588,-2.815
SPB_OCTYL,140,0.200,0.097,0,0.528,-2.812
SPB_OCTYL,160,0.169,0.061,0,0.430,-1.977
SPB_OCTYL,180,0.180,0.054,0,0.389,-1.982
SPB_OCTYL,200,0.175,0.051,0,0.350,-1.962
SPB_OCTYL,220,0.190,0.054,0,0.339,-2.016
SPB_OCTYL,240,0.187,0.044,0,0.291,-1.991
SPB_OCTYL,260,0.199,0.037,0,0.263,-2.002

HP_5,60,-0.191,0.436,0.380,0.735,-1.934
HP_5,80,-0.131,0.390,0.303,0.653,-1.974
HP_5,100,-0.104,0.345,0.237,0.576,-1.951
HP_5,120,-0.045,0.290,0.174,0.522,-1.986
HP_5,140,-0.010,0.265,0.170,0.476,-2.042
HP_5,160,0.016,0.260,0.153,0.403,-2.620
HP_5,180,0.036,0.234,0.133,0.363,-2.624
HP_5,200,0.062,0.211,0.100,0.325,-2.610
HP_5,220,0.071,0.202,0.098,0.295,-2.631
HP_5,240,0.086,0.184,0.087,0.266,-2.624
HP_5,260,0.092,0.196,0.085,0.245,-2.683
HP_5,280,0.104,0.165,0.094,0.224,-2.678
HP_5,300,0.099,0.135,0.112,0.210,-2.638

RXI_5SIL,60,-0.094,0.458,0.535, 0.739,-2.29
RXI_5SIL,80,-0.054,0.423,0.378, 0.676,-2.404
RXI_5SIL,100,-0.026,0.388,0.306,0.629,-2.530
RXI_5SIL,120,0,0.363,0.257,0.585,-2.649
RXI_5SIL,140,0.025,0.343,0.199,0.516,-2.607
RXI_5SIL,160,0.027,0.265,0.186,0.425,-2.530
RXI_5SIL,180,0.046,0.242,0.161,0.393,-2.461
RXI_5SIL,200,0.069,0.222,0.122,0.351,-2.447
RXI_5SIL,220,0.075,0.210,0.107,0.317,-2.440
RXI_5SIL,240,0.085,0.200,0.105,0.290,-2.470
RXI_5SIL,260,0.099,0.169,0.100,0.253,-2.374
RXI_5SIL,280,0.098,0.162,0.104,0.229,-2.361
RXI_5SIL,300,0.111,0.134,0.098,0.207,-2.340
RXI_5SIL,320,0.111,0.121,0.133,0.185,-2.287

RXI_17,60,0.006,0.977,0.597,0.692,-2.397
RXI_17,80,0.041,0.920,0.478,0.644,-2.567
RXI_17,100,0.069,0.849,0.405,0.594,-2.666
RXI_17,120,0.110,0.774,0.345,0.552,-2.76
RXI_17,140,0.143,0.710,0.304,0.496,-2.761
RXI_17,160,0.145,0.532,0.296,0.401,-2.461
RXI_17,180,0.154,0.510,0.260,0.371,-2.536
RXI_17,200,0.167,0.494,0.218,0.333,-2.544
RXI_17,220,0.171,0.464,0.195,0.302,-2.546
RXI_17,240,0.188,0.422,0.180,0.278,-2.577
RXI_17,260,0.182,0.380,0.180,0.240,-2.449

RTX_OPP,60,-0.451,1.161,0.363,0.650,-2.470
RTX_OPP,80,-0.373,1.070,0.296,0.590,-2.559
RTX_OPP,100,-0.294,0.949,0.242,0.528,-2.581
RTX_OPP,120,-0.230,0.863,0.219,0.479,-2.632
RTX_OPP,140,-0.202,0.818,0.187,0.436,-2.694
RTX_OPP,160,-0.104,0.643,0.174,0.365,-2.535
RTX_OPP,180,-0.084,0.591,0.154,0.328,-2.531
RTX_OPP,200,-0.054,0.547,0.140,0.293,-2.532
RTX_OPP,220,-0.036,0.510,0.143,0.265,-2.539
RTX_OPP,240,0,0.457,0.111,0.238,-2.522
RTX_OPP,260,0.016,0.419,0.115,0.215,-2.528
RTX_OPP,280,0.021,0.406,0.133,0.200,-2.596
RTX_OPP,300,0.052,0.323,0.120,0.180,-2.516

DB_1701,60,-0.201,0.877,0.984,0.703,-2.694
DB_1701,80,-0.182,0.861,0.922,0.637,-2.802
DB_1701,100,-0.126,0.794,0.748,0.575,-2.855
DB_1701,120,-0.099,0.732,0.687,0.515,-2.864
DB_1701,140,-0.07,0.666,0.600,0.463,-2.871
