CAS,chemicalName,SMILES,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy, benzeneCount,C,H,O,N,S,F,Cl,Br,I,Si
604-53-5,1.1'-Binaphthyl,c1ccc2c(c1)c(ccc2)c1cccc2c1cccc2,,2.484,282.42,264.5,2.68,1.74,0,9.97,2388.36,4,20,14,0,0,0,0,0,0,0,0
119-64-2,1.2.3.4-tetrahydronaphthalene,C1CCc2c(C1)cccc2,,1.178,160.29,355.1,0.89,0.65,0,5.203,1308.96,1,10,12,0,0,0,0,0,0,0,0
91-16-7,1.2-Dimethoxybenzene,COc1ccccc1OC,,0.88,166.25,353,0.83,1.05,0,5.043,961.76,1,8,10,2,0,0,0,0,0,0,0
110-71-4,1.2-Dimethoxyethane,COCCOC,,0.398,118.21,394.2,0.12,0.67,0,2.654,547.48,0,4,10,2,0,0,0,0,0,0,0
103-33-3,1.2-Diphenyldiazene,c1ccc(cc1)N=Nc1ccccc1,,1.458,210.3,320.4,1.33,1.21,0,7.13,1487.32,2,12,10,0,2,0,0,0,0,0,0
122-66-7,1.2-Diphenylhydrazine,c1ccc(cc1)NNc1ccccc1,,1.495,212.32,302.2,1.75,1.25,0.26,7.945,1531.02,2,12,12,0,2,0,0,0,0,0,0
151-10-0,1.3-Dimethoxybenzene,COc1cccc(c1)OC,,0.88,166.25,353.8,0.82,1.01,0,5.022,961.76,1,8,10,2,0,0,0,0,0,0,0
833-48-7,10.11-Dihydro-5H-dibenzo[a.d]cycloheptene,c1ccc2c(c1)CCc1c(C2)cccc1,,1.786,222.36,307,1.5,1.3,0,8,1870.51,2,15,14,0,0,0,0,0,0,0,0
51-17-2,1H-Benzimidazole,c1ccc2c(c1)[nH]cn2,,0.939,146.21,336.7,1.27,1.4,0.38,5.249,882.07,2,7,6,0,2,0,0,0,0,0,0
95-14-7,1H-benzotriazole,c1ccc2c(c1)[nH]nn2,,0.838,147.2,325.2,1.47,1.46,0.67,5.669,764.11,2,6,5,0,3,0,0,0,0,0,0
5137-45-1,1-Methoxy-2-ethoxyethane,COCCOCC,,0.525,132.24,390.7,0.06,0.7,0,2.982,694.75,0,5,12,2,0,0,0,0,0,0,0
107-98-2,1-Methoxy-2-propanol,COCC(O)C,,0.398,118.21,390.8,0.22,0.53,0.33,2.655,547.48,0,4,10,2,0,0,0,0,0,0,0
